base_speed,turn_speed,t_forward,t_turn,forward_yaw_diff,forward_lat_error,forward_dist,turn_yaw_err,turn_pos_drift,score
10.0,10.0,1.5,0.6,138.46659591321793,0.12252939784636957,3.091913734769733,126.49438283285917,2.0079090517238325,202.88275049401818
10.0,10.0,1.5,0.8,151.2665360014662,0.28220935737706815,2.560295072448077,80.83232927512324,2.727476895645795,195.14177807262547
10.0,10.0,1.5,1.0,136.53780744095792,0.1071533210021616,3.2262790646755555,50.01436880165113,2.655504309175928,163.84402803746408
10.0,10.0,2.0,0.6,138.70507007400823,0.4531446715397883,3.4849978566040445,123.51134424109091,2.0380687157969612,201.95817111262315
10.0,10.0,2.0,0.8,133.11365624015275,0.40936036807800624,3.5872547376847295,78.50538552405658,2.4505004554375955,174.49881591152752
10.0,10.0,2.0,1.0,131.32770875395056,0.3599168339071346,3.6341849460224207,37.40636159071664,2.7895715386177313,152.6956813483362
12.0,6.0,1.0,0.6,134.880745796508,-0.12737236309735334,2.788688062122255,93.12781974030383,1.7478542522681024,182.40642083526856
12.0,6.0,1.0,0.8,144.03224577403466,-0.14173878770549783,2.7902007393659694,38.16448437815899,2.0888572233886635,164.7854792459365
12.0,6.0,1.0,1.0,144.87186119697202,-0.15405469437502653,2.645647251300864,9.62467521461383,2.147420035861173,151.64150101345047
12.0,6.0,1.5,0.6,133.2693291257661,0.16037441690267337,3.4004231135867826,93.12781974030179,1.7478542522680252,180.2492732206716
12.0,6.0,1.5,0.8,134.68804453453862,0.2733758971937068,3.1439289561314125,38.16448437812937,2.0888572233882803,155.35082400863584
12.0,6.0,1.5,1.0,140.49674960828304,0.27576131347609883,3.0527638933972385,9.624675214641229,2.1474200358612485,147.1026860208811
12.0,6.0,2.0,0.6,139.50183681472373,0.8702818176928637,3.123093713092587,93.12781974030099,1.7478542522680658,188.1789251117035
12.0,6.0,2.0,0.8,140.20608530528835,0.6868328720124038,3.5103487200779244,38.1644843781379,2.0888572233888416,161.32935896508187
12.0,6.0,2.0,1.0,137.57118886550865,0.8364313358515204,3.151126470715553,9.624675214617582,2.147420035861134,145.20010274552718
12.0,8.0,1.0,0.6,140.20166515655455,-0.16284846906382736,2.784539615952691,108.55995827887432,1.7359111837365617,195.4946239856398
12.0,8.0,1.0,0.8,143.60597375620557,-0.16856421070433183,2.9276341330207036,46.41373988894895,2.3814243675405367,168.98518672414906
12.0,8.0,1.0,1.0,140.6653596317812,0.0071754850393917205,2.4019514253741403,28.370761188374217,2.3899556466911265,157.2430510640552
12.0,8.0,1.5,0.6,138.2936539292466,0.1908676616560592,3.300407231944022,99.26275801145067,1.916489095650136,188.8393392176403
12.0,8.0,1.5,0.8,140.40385868929843,0.2462844061597224,3.1048112771627063,50.98759468425385,2.349407320176596,167.98422820693528
12.0,8.0,1.5,1.0,136.0546345081541,0.2240798403438789,3.1918765048903452,26.66266796047205,2.4064252393655274,151.4551021429186
12.0,8.0,2.0,0.6,139.73640461159744,0.7148761881955682,3.536916784626934,103.75124657808283,1.934444939391776,193.37375337118664
12.0,8.0,2.0,0.8,138.8339275818281,0.661387017669893,3.5086656767236626,65.86980709023635,2.272145533040473,174.12723055164335
12.0,8.0,2.0,1.0,142.49427961320362,0.7102961527016238,3.43544658258708,28.351167191397224,2.0978997603792178,158.85080845247685
12.0,10.0,1.0,0.6,128.93027390699854,-0.18742318472469338,3.030824607407394,117.15097757175283,2.0338326155213147,188.91744968595958
12.0,10.0,1.0,0.8,133.44877997624587,-0.16492173841543328,2.9359788681590246,66.47763439859,2.581889465988063,169.24524071618885
12.0,10.0,1.0,1.0,138.2245170079218,-0.12989564674932766,2.782680311992024,25.60061912844799,2.6543246293846967,153.81058681242186
12.0,10.0,1.5,0.6,136.42807002921643,0.23523480936011368,3.151162953011304,120.83954970898947,1.9755214112918653,198.1181943720038
12.0,10.0,1.5,0.8,139.19626668837589,0.2358690200847137,3.1954255032648846,76.04797329177757,2.460054911174765,179.41667569351875
12.0,10.0,1.5,1.0,144.23429826927526,0.27336700547755094,3.056555049256852,44.529052033328696,2.585302040200874,169.1596073280396
12.0,10.0,2.0,0.6,127.47318048259706,0.5210479322717451,3.7901105896700003,127.39360080033032,1.9760350215226468,192.374036200681
12.0,10.0,2.0,0.8,135.40813926695301,0.6483710487058979,3.6642550354527943,81.52863097952365,2.5995141424592085,179.00397010359228
12.0,10.0,2.0,1.0,138.69092126941086,0.6946637882359764,3.4811288834803014,34.98557819767012,2.731223257022143,159.55435557528185
15.0,6.0,1.0,0.6,131.8953425085523,0.0651250528931649,2.514078702709087,93.12781974030452,1.747854252268007,179.5711322863178
